=================================================================
  EDR Agent Active: Process Anomaly Detector & Heuristics ON
=================================================================

[⚙️ PROC_LAUNCH]  PID: 80187 | Parent PID: 2 (kthreadd) | App: [kworker/u23:0-events_unbound]
[⚙️ PROC_LAUNCH]  PID: 84146 | Parent PID: 1247 (gnome-shell) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84150 | Parent PID: 84146 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84151 | Parent PID: 84146 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84153 | Parent PID: 84151 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84168 | Parent PID: 1042 (systemd) | App: [chrome_crashpad]
[⚙️ PROC_LAUNCH]  PID: 84205 | Parent PID: 84150 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84209 | Parent PID: 84146 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84249 | Parent PID: 84153 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84282 | Parent PID: 84146 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84308 | Parent PID: 84146 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84327 | Parent PID: 84146 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84328 | Parent PID: 84146 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84374 | Parent PID: 2 (kthreadd) | App: [kworker/2:2-events]
[⚙️ PROC_LAUNCH]  PID: 84375 | Parent PID: 84146 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 84419 | Parent PID: 84146 (code) | App: [dconf]
[⚙️ PROC_LAUNCH]  PID: 84434 | Parent PID: 84375 (code) | App: [zsh]
[⚙️ PROC_LAUNCH]  PID: 84568 | Parent PID: 84308 (code) | App: [cpptools]
[⚙️ PROC_LAUNCH]  PID: 84637 | Parent PID: 1042 (systemd) | App: [cpptools-srv]
[⚙️ PROC_LAUNCH]  PID: 84743 | Parent PID: 84282 (code) | App: [code]
[⚙️ PROC_LAUNCH]  PID: 92276 | Parent PID: 2 (kthreadd) | App: [kworker/3:0-events]
[⚙️ PROC_LAUNCH]  PID: 97889 | Parent PID: 0 (<unknown>) | App: [Isolate]
[⚙️ PROC_LAUNCH]  PID: 98015 | Parent PID: 2 (kthreadd) | App: [kworker/u25:1-events_unbound]
[⚙️ PROC_LAUNCH]  PID: 102075 | Parent PID: 1042 (systemd) | App: [cpptools-srv2]
[⚙️ PROC_LAUNCH]  PID: 102193 | Parent PID: 1042 (systemd) | App: [cpptools-srv2]
[⚙️ PROC_LAUNCH]  PID: 102230 | Parent PID: 1042 (systemd) | App: [cpptools-srv2]
[⚙️ PROC_LAUNCH]  PID: 102666 | Parent PID: 84375 (code) | App: [zsh]
